tweet_id,code,message
888202515573088257,144,No status found with that ID.
873697596434513921,144,No status found with that ID.
872668790621863937,34,"Sorry, that page does not exist."
869988702071779329,144,No status found with that ID.
866816280283807744,144,No status found with that ID.
861769973181624320,144,No status found with that ID.
845459076796616705,144,No status found with that ID.
842892208864923648,144,No status found with that ID.
837012587749474308,144,No status found with that ID.
827228250799742977,144,No status found with that ID.
802247111496568832,144,No status found with that ID.
775096608509886464,144,No status found with that ID.
771004394259247104,179,"Sorry, you are not authorized to see this status."
770743923962707968,144,No status found with that ID.
754011816964026368,144,No status found with that ID.
